pid,order,size,condition,rating
1,7,9,birds,2
1,1,8,birds,2.4
1,10,7,birds,5.9
1,8,6,birds,1.9
1,6,5,birds,4.2
1,2,4,birds,4.9
1,4,3,birds,4.7
1,5,2,birds,5.6
1,9,1,birds,3.7
1,3,10,birds,1.6
2,9,1,mammals,1
2,4,3,mammals,6
2,3,2,mammals,9
2,6,9,mammals,-6
2,8,8,mammals,-4
2,5,5,mammals,-1
2,1,10,mammals,3
2,10,6,mammals,-6
2,7,7,mammals,-1
2,2,4,mammals,8
3,2,9,sea_creatures,4.2
3,3,8,sea_creatures,1.2
3,9,7,sea_creatures,-8.8
3,1,6,sea_creatures,-2.8
3,8,5,sea_creatures,1.3
3,4,4,sea_creatures,-0.8
3,5,3,sea_creatures,2.4
3,7,2,sea_creatures,4.7
3,6,1,sea_creatures,4
3,10,10,sea_creatures,1
4,5,1,mammals,-3
4,10,3,mammals,3
4,6,2,mammals,3.5
4,4,9,mammals,-4
4,9,8,mammals,-2
4,1,5,mammals,-2
4,2,10,mammals,4
4,7,6,mammals,-1
4,8,7,mammals,7
4,3,4,mammals,5
5,1,9,sea_creatures,3.7
5,4,8,sea_creatures,NA
5,10,7,sea_creatures,-2.7
5,8,6,sea_creatures,-0.3
5,2,5,sea_creatures,3.4
5,3,4,sea_creatures,1.5
5,7,3,sea_creatures,1.7
5,9,2,sea_creatures,2.1
5,6,1,sea_creatures,-0.5
5,5,10,sea_creatures,2.8
6,10,9,birds,2.2
6,2,8,birds,2
6,4,7,birds,3.1
6,8,6,birds,2.3
6,6,5,birds,2.5
6,9,4,birds,3.8
6,7,3,birds,3.4
6,1,2,birds,6
6,5,1,birds,9.1
6,3,10,birds,6.6
7,3,1,mammals,2.5
7,1,3,mammals,2
7,10,2,mammals,3
7,9,9,mammals,1.7
7,7,8,mammals,2.5
7,8,5,mammals,4.1
7,6,10,mammals,1.3
7,5,6,mammals,3.6
7,4,7,mammals,2.8
7,2,4,mammals,3.1
8,5,9,sea_creatures,2.2
8,2,8,sea_creatures,1.4
8,7,7,sea_creatures,-4.8
8,10,6,sea_creatures,0.8
8,9,5,sea_creatures,4.5
8,3,4,sea_creatures,2.7
8,6,3,sea_creatures,2.7
8,8,2,sea_creatures,3.8
8,4,1,sea_creatures,-0.6
8,1,10,sea_creatures,0.7
chisquareatops,1,9,sea_creatures,4.2
chisquareatops,10,8,sea_creatures,3.7
chisquareatops,4,7,sea_creatures,1.7
chisquareatops,8,6,sea_creatures,0.9
chisquareatops,3,5,sea_creatures,2.1
chisquareatops,6,4,sea_creatures,4.6
chisquareatops,2,3,sea_creatures,0.9
chisquareatops,9,2,sea_creatures,2.7
chisquareatops,7,1,sea_creatures,1.2
chisquareatops,5,10,sea_creatures,2.5
normalosaurus,1,9,birds,9.8
normalosaurus,2,8,birds,9.7
normalosaurus,4,7,birds,10
normalosaurus,10,6,birds,9.3
normalosaurus,9,5,birds,9.2
normalosaurus,7,4,birds,8.2
normalosaurus,5,3,birds,8.9
normalosaurus,3,2,birds,7.2
normalosaurus,6,1,birds,9.4
normalosaurus,8,10,birds,10
11,8,1,mammals,NA
11,3,3,mammals,NA
11,9,2,mammals,NA
11,10,9,mammals,NA
11,4,8,mammals,NA
11,2,5,mammals,NA
11,6,10,mammals,NA
11,1,6,mammals,NA
11,5,7,mammals,NA
11,7,4,mammals,NA
13,3,1,mammals,1.3
13,4,3,mammals,2.7
13,8,2,mammals,2.3
13,5,9,mammals,0.5
13,6,8,mammals,1.5
13,10,5,mammals,5.2
13,1,10,mammals,4.1
13,7,6,mammals,2.9
13,2,7,mammals,1.6
13,9,4,mammals,4.7
annabanana,1,9,sea_creatures,6.2
annabanana,5,8,sea_creatures,8.2
annabanana,8,7,sea_creatures,4.1
annabanana,2,6,sea_creatures,4.6
annabanana,9,5,sea_creatures,8.2
annabanana,7,4,sea_creatures,6.4
annabanana,4,3,sea_creatures,6.2
annabanana,10,2,sea_creatures,9
annabanana,6,1,sea_creatures,9.6
annabanana,3,10,sea_creatures,6.2
Pickles,10,9,sea_creatures,3.2
Pickles,7,8,sea_creatures,1.8
Pickles,4,7,sea_creatures,-6.9
Pickles,8,6,sea_creatures,-3
Pickles,1,5,sea_creatures,4.3
Pickles,3,4,sea_creatures,-2.4
Pickles,9,3,sea_creatures,2.2
Pickles,2,2,sea_creatures,1.8
Pickles,5,1,sea_creatures,-3.3
Pickles,6,10,sea_creatures,7.5
16,5,9,sea_creatures,2.2
16,7,8,sea_creatures,2
16,8,7,sea_creatures,-4.6
16,1,6,sea_creatures,-3.9
16,9,5,sea_creatures,6
16,6,4,sea_creatures,0.1
16,10,3,sea_creatures,2.6
16,3,2,sea_creatures,1
16,4,1,sea_creatures,2
16,2,10,sea_creatures,-2
Jig,8,9,birds,-2
Jig,10,8,birds,-5.6
Jig,1,7,birds,3.1
Jig,9,6,birds,-8.5
Jig,6,5,birds,-1.1
Jig,2,4,birds,2.2
Jig,3,3,birds,8.1
Jig,7,2,birds,10
Jig,5,1,birds,1.4
Jig,4,10,birds,-1
Polar Bear,6,1,mammals,NA
Polar Bear,1,3,mammals,10
Polar Bear,3,2,mammals,10
Polar Bear,9,9,mammals,2
Polar Bear,2,8,mammals,4.1
Polar Bear,10,5,mammals,4
Polar Bear,7,10,mammals,3.1
Polar Bear,8,6,mammals,2.1
Polar Bear,5,7,mammals,4
Polar Bear,4,4,mammals,10
B,6,9,birds,3.4
B,1,8,birds,1
B,8,7,birds,10
B,10,6,birds,-3.2
B,5,5,birds,2
B,2,4,birds,0.9
B,4,3,birds,3.2
B,9,2,birds,10
B,7,1,birds,6.5
B,3,10,birds,1.4
participant 2,3,9,sea_creatures,NA
participant 2,2,8,sea_creatures,3.8
participant 2,10,7,sea_creatures,-8.9
participant 2,7,6,sea_creatures,-1.2
participant 2,5,5,sea_creatures,5.8
participant 2,8,4,sea_creatures,-5.6
participant 2,1,3,sea_creatures,4.3
participant 2,4,2,sea_creatures,4.9
participant 2,6,1,sea_creatures,-8.2
participant 2,9,10,sea_creatures,2.7
Egg,4,1,mammals,-0.6
Egg,8,3,mammals,10
Egg,1,2,mammals,6.6
Egg,6,9,mammals,2.2
Egg,9,8,mammals,1
Egg,7,5,mammals,4
Egg,3,10,mammals,3.2
Egg,2,6,mammals,-2.1
Egg,5,7,mammals,-3.5
Egg,10,4,mammals,7.4
:),2,9,sea_creatures,2.5
:),8,8,sea_creatures,3.1
:),5,7,sea_creatures,-8
:),9,6,sea_creatures,-6.1
:),6,5,sea_creatures,3.9
:),7,4,sea_creatures,-6.2
:),10,3,sea_creatures,6.2
:),1,2,sea_creatures,4.5
:),4,1,sea_creatures,-3.1
:),3,10,sea_creatures,0.7
Gru,3,9,birds,6
Gru,6,8,birds,-3
Gru,4,7,birds,3
Gru,10,6,birds,-10
Gru,8,5,birds,1
Gru,5,4,birds,3
Gru,9,3,birds,7
Gru,7,2,birds,10
Gru,2,1,birds,6
Gru,1,10,birds,4
Edna mode,10,1,mammals,3
Edna mode,3,3,mammals,8.1
Edna mode,9,2,mammals,3.6
Edna mode,6,9,mammals,-7.5
Edna mode,8,8,mammals,-4.5
Edna mode,2,5,mammals,7
Edna mode,1,10,mammals,3.8
Edna mode,4,6,mammals,2.7
Edna mode,7,7,mammals,8.9
Edna mode,5,4,mammals,-10
meep,9,9,birds,6.9
meep,8,8,birds,2.1
meep,10,7,birds,7
meep,4,6,birds,6.5
meep,1,5,birds,4
meep,7,4,birds,4.1
meep,5,3,birds,3.9
meep,2,2,birds,6
meep,3,1,birds,7
meep,6,10,birds,1
Beth,6,9,birds,0.2
Beth,2,8,birds,-4.9
Beth,7,7,birds,1.2
Beth,8,6,birds,-10
Beth,5,5,birds,-3.7
Beth,10,4,birds,-2.4
Beth,9,3,birds,4
Beth,1,2,birds,1
Beth,3,1,birds,-2
Beth,4,10,birds,-10
27,1,9,sea_creatures,8.4
27,5,8,sea_creatures,2.5
27,6,7,sea_creatures,2
27,10,6,sea_creatures,-3.2
27,3,5,sea_creatures,5.4
27,8,4,sea_creatures,10
27,7,3,sea_creatures,2.3
27,4,2,sea_creatures,8.6
27,2,1,sea_creatures,5.2
27,9,10,sea_creatures,2.1
Coffee,7,1,mammals,9
Coffee,8,3,mammals,9
Coffee,5,2,mammals,2.8
Coffee,9,9,mammals,1.9
Coffee,1,8,mammals,5
Coffee,3,5,mammals,6.4
Coffee,4,10,mammals,7
Coffee,2,6,mammals,4.9
Coffee,6,7,mammals,5.7
Coffee,10,4,mammals,9.1
Mr Worldwide,3,9,birds,-3.4
Mr Worldwide,1,8,birds,-6.1
Mr Worldwide,7,7,birds,-2.7
Mr Worldwide,10,6,birds,2.2
Mr Worldwide,8,5,birds,1.6
Mr Worldwide,4,4,birds,-4.1
Mr Worldwide,9,3,birds,4.6
Mr Worldwide,5,2,birds,9.2
Mr Worldwide,2,1,birds,7.2
Mr Worldwide,6,10,birds,-5.8
Pookie No.1,9,9,sea_creatures,0.3
Pookie No.1,5,8,sea_creatures,-8.8
Pookie No.1,2,7,sea_creatures,-8.3
Pookie No.1,4,6,sea_creatures,-1.8
Pookie No.1,1,5,sea_creatures,-3.9
Pookie No.1,8,4,sea_creatures,-7.9
Pookie No.1,6,3,sea_creatures,2.3
Pookie No.1,10,2,sea_creatures,3.8
Pookie No.1,3,1,sea_creatures,-4.2
Pookie No.1,7,10,sea_creatures,0.3
31,6,9,sea_creatures,5.6
31,8,8,sea_creatures,3.6
31,2,7,sea_creatures,-5
31,4,6,sea_creatures,-5.9
31,3,5,sea_creatures,7.6
31,7,4,sea_creatures,-1.9
31,1,3,sea_creatures,1.2
31,5,2,sea_creatures,8
31,9,1,sea_creatures,1
31,10,10,sea_creatures,4.3
Epsilon,2,9,birds,5
Epsilon,7,8,birds,-4.1
Epsilon,1,7,birds,-5
Epsilon,8,6,birds,-0.9
Epsilon,10,5,birds,7
Epsilon,3,4,birds,3.9
Epsilon,5,3,birds,4.2
Epsilon,9,2,birds,6.1
Epsilon,6,1,birds,7
Epsilon,4,10,birds,NA
Conrad,9,1,mammals,9
Conrad,4,3,mammals,8
Conrad,6,2,mammals,6
Conrad,10,9,mammals,7
Conrad,2,8,mammals,2
Conrad,5,5,mammals,2
Conrad,7,10,mammals,4
Conrad,8,6,mammals,1
Conrad,3,7,mammals,6
Conrad,1,4,mammals,4
uli,10,9,birds,-0.8
uli,3,8,birds,-1
uli,1,7,birds,3.5
uli,2,6,birds,3.2
uli,4,5,birds,5.5
uli,8,4,birds,1.5
uli,9,3,birds,5.3
uli,6,2,birds,4.1
uli,5,1,birds,2.8
uli,7,10,birds,1.7
"Octopus
",9,1,mammals,8.1
"Octopus
",8,3,mammals,9.5
"Octopus
",2,2,mammals,10
"Octopus
",1,9,mammals,8.4
"Octopus
",10,8,mammals,3.9
"Octopus
",4,5,mammals,7.3
"Octopus
",7,10,mammals,8.2
"Octopus
",5,6,mammals,6.4
"Octopus
",6,7,mammals,6.8
"Octopus
",3,4,mammals,10
36,1,9,sea_creatures,5
36,10,8,sea_creatures,5.4
36,2,7,sea_creatures,2.7
36,5,6,sea_creatures,2.3
36,7,5,sea_creatures,10
36,8,4,sea_creatures,5.4
36,6,3,sea_creatures,6.3
36,4,2,sea_creatures,2.5
36,3,1,sea_creatures,1.7
36,9,10,sea_creatures,6.1
pseudonym,4,1,mammals,-10
pseudonym,10,3,mammals,-10
pseudonym,1,2,mammals,-10
pseudonym,7,9,mammals,-10
pseudonym,2,8,mammals,-2.5
pseudonym,9,5,mammals,-10
pseudonym,3,10,mammals,-10
pseudonym,5,6,mammals,-10
pseudonym,8,7,mammals,-10
pseudonym,6,4,mammals,10
38,3,9,sea_creatures,3.1
38,6,8,sea_creatures,10
38,7,7,sea_creatures,-3.6
38,8,6,sea_creatures,0.1
38,1,5,sea_creatures,9.1
38,9,4,sea_creatures,7.4
38,10,3,sea_creatures,10
38,2,2,sea_creatures,8.3
38,4,1,sea_creatures,6.4
38,5,10,sea_creatures,8.1
Mosquito,9,1,mammals,4.2
Mosquito,1,3,mammals,10
Mosquito,5,2,mammals,6.6
Mosquito,7,9,mammals,-3.7
Mosquito,4,8,mammals,2
Mosquito,3,5,mammals,10
Mosquito,2,10,mammals,-2
Mosquito,8,6,mammals,3.7
Mosquito,10,7,mammals,2
Mosquito,6,4,mammals,3.9
Telur,6,1,mammals,3
Telur,1,3,mammals,9.5
Telur,4,2,mammals,8
Telur,2,9,mammals,7.5
Telur,3,8,mammals,2
Telur,7,5,mammals,2.5
Telur,8,10,mammals,5.5
Telur,9,6,mammals,-2
Telur,5,7,mammals,4
Telur,10,4,mammals,7
Rhona,2,9,sea_creatures,-2.9
Rhona,3,8,sea_creatures,3.1
Rhona,7,7,sea_creatures,3.5
Rhona,9,6,sea_creatures,-3
Rhona,10,5,sea_creatures,10
Rhona,8,4,sea_creatures,NA
Rhona,6,3,sea_creatures,6.4
Rhona,1,2,sea_creatures,9
Rhona,5,1,sea_creatures,-9.3
Rhona,4,10,sea_creatures,0.1
hater,8,9,birds,-10
hater,5,8,birds,-10
hater,1,7,birds,10
hater,6,6,birds,-10
hater,4,5,birds,10
hater,9,4,birds,10
hater,2,3,birds,10
hater,3,2,birds,-10
hater,7,1,birds,-10
hater,10,10,birds,-10
43,1,1,mammals,-4
43,2,3,mammals,8.8
43,4,2,mammals,10
43,9,9,mammals,5.7
43,8,8,mammals,-4.2
43,10,5,mammals,-3.6
43,6,10,mammals,10
43,5,6,mammals,-3.6
43,3,7,mammals,4.3
43,7,4,mammals,9.3
Pee,3,9,sea_creatures,10
Pee,2,8,sea_creatures,3
Pee,7,7,sea_creatures,-4.2
Pee,6,6,sea_creatures,-7.1
Pee,10,5,sea_creatures,10
Pee,8,4,sea_creatures,1.3
Pee,4,3,sea_creatures,10
Pee,5,2,sea_creatures,9.1
Pee,9,1,sea_creatures,-5
Pee,1,10,sea_creatures,-2
leapfrog,8,9,birds,2
leapfrog,4,8,birds,1.5
leapfrog,10,7,birds,3.2
leapfrog,2,6,birds,2
leapfrog,6,5,birds,2.3
leapfrog,9,4,birds,3.4
leapfrog,1,3,birds,4
leapfrog,7,2,birds,4.8
leapfrog,3,1,birds,4
leapfrog,5,10,birds,3.5
46,4,9,birds,-4.7
46,1,8,birds,3.4
46,7,7,birds,-2.8
46,10,6,birds,0
46,8,5,birds,0.9
46,3,4,birds,2.7
46,5,3,birds,3.1
46,2,2,birds,7
46,6,1,birds,2
46,9,10,birds,1.3
1_v2,10,9,birds,4.5
1_v2,5,8,birds,-10
1_v2,3,7,birds,-10
1_v2,2,6,birds,-10
1_v2,4,5,birds,1.4
1_v2,1,4,birds,-10
1_v2,7,3,birds,-7.1
1_v2,8,2,birds,3.9
1_v2,6,1,birds,-8.2
1_v2,9,10,birds,-10
"Unidentified
",1,9,sea_creatures,2.2
"Unidentified
",3,8,sea_creatures,0.8
"Unidentified
",10,7,sea_creatures,2.7
"Unidentified
",5,6,sea_creatures,0.7
"Unidentified
",9,5,sea_creatures,1.5
"Unidentified
",2,4,sea_creatures,4.9
"Unidentified
",7,3,sea_creatures,2.3
"Unidentified
",4,2,sea_creatures,9.4
"Unidentified
",8,1,sea_creatures,3.3
"Unidentified
",6,10,sea_creatures,1.5
Jet2holiday,3,9,birds,9.7
Jet2holiday,9,8,birds,-6.1
Jet2holiday,4,7,birds,-2.6
Jet2holiday,5,6,birds,-4.8
Jet2holiday,10,5,birds,-3.6
Jet2holiday,6,4,birds,-6.5
Jet2holiday,1,3,birds,-9.9
Jet2holiday,7,2,birds,2.5
Jet2holiday,2,1,birds,5
Jet2holiday,8,10,birds,-8.6
Zendaya,4,9,sea_creatures,-2.5
Zendaya,9,8,sea_creatures,-2.4
Zendaya,10,7,sea_creatures,-10
Zendaya,6,6,sea_creatures,2.1
Zendaya,7,5,sea_creatures,7
Zendaya,8,4,sea_creatures,3.1
Zendaya,2,3,sea_creatures,NA
Zendaya,3,2,sea_creatures,3.9
Zendaya,5,1,sea_creatures,-4
Zendaya,1,10,sea_creatures,3.4
Lily,6,1,mammals,9
Lily,1,3,mammals,7
Lily,2,2,mammals,6
Lily,5,9,mammals,6
Lily,4,8,mammals,8
Lily,7,5,mammals,10
Lily,9,10,mammals,4.1
Lily,10,6,mammals,9
Lily,8,7,mammals,10
Lily,3,4,mammals,8
Mantis,8,1,mammals,10
Mantis,5,3,mammals,10
Mantis,7,2,mammals,10
Mantis,2,9,mammals,8.9
Mantis,3,8,mammals,10
Mantis,6,5,mammals,10
Mantis,1,10,mammals,6.9
Mantis,9,6,mammals,10
Mantis,4,7,mammals,10
Mantis,10,4,mammals,6.6
53,7,9,sea_creatures,-3.2
53,10,8,sea_creatures,2.8
53,6,7,sea_creatures,-6.1
53,1,6,sea_creatures,2
53,4,5,sea_creatures,6
53,9,4,sea_creatures,2.2
53,3,3,sea_creatures,1.5
53,8,2,sea_creatures,-6.8
53,2,1,sea_creatures,4.2
53,5,10,sea_creatures,-3
z,3,1,mammals,-3.1
z,10,3,mammals,8.3
z,2,2,mammals,2
z,7,9,mammals,5.2
z,4,8,mammals,3.8
z,6,5,mammals,7.5
z,5,10,mammals,1.4
z,8,6,mammals,6.1
z,9,7,mammals,5
z,1,4,mammals,9
The Goat,4,1,mammals,6.1
The Goat,7,3,mammals,3.4
The Goat,3,2,mammals,9
The Goat,1,9,mammals,3.8
The Goat,2,8,mammals,7.3
The Goat,9,5,mammals,-2.9
The Goat,8,10,mammals,2.9
The Goat,10,6,mammals,-2.3
The Goat,5,7,mammals,9.6
