StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,s1d100_1,s1d2_2,s1d3_1,s1d4_1,s1d5_1,s1d6_1,s1d7_1,s1d8_1,s1d9_1,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,s1d4retest_1,s2d1_1,s2d2_1,s2d3_1,s2d4_1,s2d5_1,s2d6_1,s2d7_1,s2d8_1,s2d9_1,s2d4retest_1,FL_8_DO_FL_9,FL_8_DO_FL_10,SCALE1_DO_s1d100,SCALE1_DO_s1d3,SCALE1_DO_s1d4,SCALE1_DO_s1d8,SCALE1_DO_s1d9,SCALE1_DO_s1d7,SCALE1_DO_s1d2,SCALE1_DO_s1d5,SCALE1_DO_s1d6,SCALE2_DO_s2d7,SCALE2_DO_s2d6,SCALE2_DO_s2d5,SCALE2_DO_s2d4,SCALE2_DO_s2d3,SCALE2_DO_s2d2,SCALE2_DO_s2d1,SCALE2_DO_s2d9,SCALE2_DO_s2d8
2025-11-13T08:44:18Z,2025-11-13T08:47:37Z,IP Address,192.41.125.249,100,198,TRUE,2025-11-13T08:47:37Z,R_8SAj5Wyn4Puw6vd,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),NA,Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),NA,3,5,14,15,24,36,68,78,89,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,5,3,2,4,9,8,6
2025-11-13T09:16:20Z,2025-11-13T10:23:08Z,IP Address,82.13.92.172,100,4008,TRUE,2025-11-13T10:23:09Z,R_8YzEdPKGPWI3sry,NA,NA,NA,NA,55.9495,-3.1983,anonymous,EN-GB,3,12,13,21,28,38,87,83,97,Profound Global Impact (Redefined human civilization),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Notable Regional Impact (Known by most historians),Almost None (Almost forgotten),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),Moderate Global Impact (Changed one aspect of global culture),Almost None (Almost forgotten),Notable Regional Impact (Known by most historians),16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,5,2,1,6,4,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T07:17:35Z,2025-11-17T07:19:06Z,IP Address,82.132.216.126,100,91,TRUE,2025-11-17T07:19:06Z,R_2jUP3G1dYd3ALER,NA,NA,NA,NA,55.9153,-3.1977,anonymous,EN-GB,20,33,46,35,56,67,65,79,96,Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,4,3,2,5,1,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T08:41:02Z,2025-11-17T08:44:00Z,IP Address,129.215.112.106,100,177,TRUE,2025-11-17T08:44:01Z,R_8Bg20sRxoTPcDBN,NA,NA,NA,NA,55.9632,-3.2546,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),NA,9,19,18,26,33,43,71,93,93,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,9,7,1,6,2,8
2025-11-17T11:39:50Z,2025-11-17T11:44:48Z,IP Address,192.41.125.254,100,298,TRUE,2025-11-17T11:44:49Z,R_2dg0CHdnirbnDMK,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,2,25,12,23,24,40,57,71,63,Minor Local Impact (Only influenced a small area/field),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),Almost None (Almost forgotten),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,5,7,6,4,8,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T11:39:50Z,2025-11-17T11:45:31Z,IP Address,192.41.125.255,100,340,TRUE,2025-11-17T11:45:32Z,R_8QMhuQoc5MLxRkK,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,10,40,35,54,28,76,86,100,100,Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,9,4,6,1,8,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T11:40:15Z,2025-11-17T11:47:59Z,IP Address,82.132.216.217,100,464,TRUE,2025-11-17T11:48:00Z,R_8QKQtRLNraxj1zR,NA,NA,NA,NA,55.9153,-3.1977,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),NA,10,2,24,42,28,86,97,100,100,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,1,8,9,2,7,6
2025-11-17T13:35:41Z,2025-11-17T13:37:26Z,IP Address,192.41.125.253,100,105,TRUE,2025-11-17T13:37:26Z,R_8Q29jOtIzzOmoql,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,7,31,67,55,20,72,85,88,100,World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,3,1,9,6,4,2,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:36Z,2025-11-17T13:37:39Z,IP Address,192.41.125.249,100,122,TRUE,2025-11-17T13:37:39Z,R_2jeB4FJhtOIvskU,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),NA,5,28,41,37,46,77,93,89,100,48,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,8,5,1,2,9,7,4
2025-11-17T13:35:43Z,2025-11-17T13:37:44Z,IP Address,192.41.125.255,100,121,TRUE,2025-11-17T13:37:45Z,R_2uKCT99rtf8BFMP,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,1,5,12,32,36,72,76,87,98,Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,3,1,5,8,9,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:36Z,2025-11-17T13:37:50Z,IP Address,192.41.125.253,100,134,TRUE,2025-11-17T13:37:51Z,R_2VIMWL4U2p5eSHf,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,13,11,27,30,31,46,87,69,96,High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,5,6,1,9,8,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:41Z,2025-11-17T13:38:00Z,IP Address,192.41.125.249,100,139,TRUE,2025-11-17T13:38:01Z,R_2P4wArnFaYFfEdP,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,11,18,27,30,37,63,56,70,90,World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Profound Global Impact (Redefined human civilization),16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,7,8,2,5,3,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:40Z,2025-11-17T13:38:02Z,IP Address,192.41.125.254,100,142,TRUE,2025-11-17T13:38:02Z,R_8DbSR3RmoAfdycp,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,7,7,12,17,22,57,64,77,89,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Almost None (Almost forgotten),Notable Regional Impact (Known by most historians),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,4,5,7,9,2,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:35Z,2025-11-17T13:38:13Z,IP Address,192.41.125.253,100,157,TRUE,2025-11-17T13:38:13Z,R_8OP2uL3Hb4vUbLj,NA,NA,NA,NA,55.9153,-3.1977,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),NA,19,8,21,38,28,85,100,100,100,43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,3,8,7,1,6,9
2025-11-17T13:35:45Z,2025-11-17T13:38:25Z,IP Address,192.41.125.253,100,159,TRUE,2025-11-17T13:38:25Z,R_2QfTAHzq4S6uDw6,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),NA,17,23,19,28,31,69,81,90,91,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,5,9,6,8,3,1
2025-11-17T13:35:37Z,2025-11-17T13:38:26Z,IP Address,192.41.125.254,100,169,TRUE,2025-11-17T13:38:27Z,R_2mJGK1gwED4xeB8,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Notable Regional Impact (Known by most historians),NA,22,64,31,58,50,82,73,94,99,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,9,2,6,8,7
2025-11-17T13:35:39Z,2025-11-17T13:38:33Z,IP Address,192.41.125.253,100,173,TRUE,2025-11-17T13:38:33Z,R_2EcGlGsYucs2AzT,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,3,22,13,53,47,68,91,96,99,Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,7,3,5,9,4,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:43Z,2025-11-17T13:38:37Z,IP Address,192.41.125.254,100,173,TRUE,2025-11-17T13:38:38Z,R_8mZdGna5S5xqwyR,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minor Local Impact (Only influenced a small area/field),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Minor Local Impact (Only influenced a small area/field),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),Moderate Global Impact (Changed one aspect of global culture),NA,13,30,51,65,44,43,91,83,100,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,2,3,5,4,7,9,1
2025-11-17T13:35:42Z,2025-11-17T13:38:43Z,IP Address,192.41.125.249,100,180,TRUE,2025-11-17T13:38:43Z,R_2ffp8hohDnAxANc,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Moderate Global Impact (Changed one aspect of global culture),NA,10,12,26,34,41,54,90,97,100,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,9,7,5,4,1,3,2
